transaction_id,Date,location_id,platform_id,game_edition_id,sales_channel_id,retailer_id,release_phase_id,special_event_id,season,units_sold,gross_revenue_usd,average_selling_price_usd,discount_percentage,online_players,story_mode_players,dlc_revenue_usd,holiday_season
GTA5-100039,30/09/2013,1,1,1,1,1,1,1,Autumn,263,5141.65,19.55,34.8,12090,5069,10572.36,0
GTA5-100005,30/09/2013,2,1,2,1,1,1,1,Autumn,978,13672.44,13.98,53.4,11684,7681,4971.33,0
GTA5-100050,30/09/2013,9,1,4,1,1,1,1,Autumn,1145,15904.05,13.89,53.7,27951,14633,27384.79,0
GTA5-100092,30/09/2013,10,2,2,1,1,1,1,Autumn,1142,23559.46,20.63,31.2,27520,18643,23444.07,0
GTA5-100093,30/09/2013,2,2,1,1,2,1,1,Autumn,390,7109.7,18.23,39.2,13384,4842,4800.11,0
GTA5-100072,30/09/2013,3,1,2,1,3,1,1,Autumn,241,3778.88,15.68,47.7,5593,2671,2242.93,0
GTA5-100037,30/09/2013,6,2,2,1,3,1,1,Autumn,311,5977.42,19.22,35.9,7648,2938,4444.82,0
GTA5-100036,30/09/2013,5,1,2,1,4,1,1,Autumn,864,15439.68,17.87,40.4,20946,15763,8312.48,0
GTA5-100034,30/09/2013,4,1,3,1,4,1,1,Autumn,2564,37767.72,14.73,50.9,74957,26086,50769.83,0
GTA5-100004,30/09/2013,10,1,2,1,4,1,1,Autumn,1299,22355.79,17.21,42.6,37205,27064,22431.11,0
GTA5-100028,30/09/2013,7,1,2,1,5,1,1,Autumn,316,5021.24,15.89,47,9769,4114,9266.76,0
GTA5-100044,30/09/2013,8,1,2,1,5,1,1,Autumn,395,7852.6,19.88,33.7,9963,4297,6726.77,0
GTA5-100073,30/09/2013,11,1,2,1,3,1,1,Autumn,392,5809.44,14.82,50.6,13246,4822,5898,0
GTA5-100087,30/09/2013,12,2,4,1,4,1,1,Autumn,91,1888.25,20.75,30.8,2587,1054,1014.71,0
GTA5-100002,30/09/2013,13,1,1,1,2,1,1,Autumn,1263,22266.69,17.63,41.2,38781,17484,22987.11,0
GTA5-100090,30/09/2013,13,2,2,1,1,1,1,Autumn,1083,16591.56,15.32,48.9,51416,24459,20595.82,0
GTA5-100006,30/09/2013,14,1,1,1,5,1,1,Autumn,482,5393.58,11.19,62.7,8286,4251,6097.29,0
GTA5-100094,30/09/2013,14,1,2,1,6,1,1,Autumn,428,6967.84,16.28,45.7,9273,5229,5211.79,0
GTA5-100066,30/09/2013,15,1,3,1,3,1,1,Autumn,3336,47738.16,14.31,52.3,72802,39249,38814.48,0
GTA5-100007,30/09/2013,16,1,1,1,3,1,1,Autumn,354,7143.72,20.18,32.7,11282,5975,7783.51,0
GTA5-100095,30/09/2013,16,2,2,1,6,1,1,Autumn,458,8349.34,18.23,39.2,8627,5539,6448.82,0
GTA5-100082,30/09/2013,17,2,1,1,1,1,1,Autumn,274,6162.26,22.49,25,12457,4763,14029.11,0
GTA5-100023,30/09/2013,18,1,2,1,3,1,1,Autumn,246,3261.96,13.26,55.8,5823,3988,2158.85,0
GTA5-100052,30/09/2013,19,2,1,1,1,1,1,Autumn,853,16727.33,19.61,34.6,17532,10813,10454.1,0
GTA5-100020,30/09/2013,20,1,2,1,5,1,1,Autumn,896,12579.84,14.04,53.2,20985,10282,12746.36,0
GTA5-100010,30/09/2013,21,1,2,1,6,1,1,Autumn,163,2643.86,16.22,45.9,3179,1762,1683.78,0
GTA5-100098,30/09/2013,21,1,2,1,2,1,1,Autumn,143,2598.31,18.17,39.4,3765,1600,2909.68,0
GTA5-100051,30/09/2013,22,1,3,1,3,1,1,Autumn,773,7559.94,9.78,67.4,16822,7997,6353.97,0
GTA5-100064,30/09/2013,23,1,2,1,1,1,1,Autumn,556,6621.96,11.91,60.3,11790,8225,4065.26,0
GTA5-100059,30/09/2013,24,1,2,1,4,1,1,Autumn,265,3474.15,13.11,56.3,4550,1801,2954.44,0
GTA5-100062,30/09/2013,25,1,3,1,4,1,1,Autumn,111,1598.4,14.4,52,1540,1052,1279.4,0
GTA5-100021,30/09/2013,26,2,2,1,5,1,1,Autumn,732,11873.04,16.22,45.9,17132,7627,7434.45,0
GTA5-100013,30/09/2013,27,2,2,1,3,1,1,Autumn,2782,55139.24,19.82,33.9,47721,17603,42921.32,0
GTA5-100056,30/09/2013,28,2,2,1,5,1,1,Autumn,216,3214.08,14.88,50.4,5539,3034,3540.46,0
GTA5-100012,30/09/2013,29,2,1,1,4,1,1,Autumn,2757,47447.97,17.21,42.6,71582,42272,77434.44,0
GTA5-100079,30/09/2013,30,2,2,1,2,1,1,Autumn,389,5994.49,15.41,48.6,7400,3965,4267.8,0
GTA5-100085,30/09/2013,31,1,2,1,6,1,1,Autumn,658,10534.58,16.01,46.6,12465,7458,4879.65,0
GTA5-100065,30/09/2013,32,2,1,1,1,1,1,Autumn,1410,13620.6,9.66,67.8,23519,17745,12825.27,0
GTA5-100080,30/09/2013,33,2,4,1,6,1,1,Autumn,557,11624.59,20.87,30.4,16208,6878,9230.34,0
